,documentid,recordtype_x,borough_x,block,lot,easement,partiallot,airrights,subterraneanrights,propertytype,streetnumber,streetname,unit,goodthroughdate_x,recordtype_y,crfn,borough_y,doctype,docdate,docamount,recorded/filed,modifieddate,reelyear,reelnbr,reelpage,%transferred,goodthroughdate_y
62,2009110200948001,L,4,528,50,N,E,N,N,SP,33-68,21ST STREET,15A,07/31/2015,A,2.0090003642e+12,4,RPTT&RET,10/27/2009,353000,11/06/2009,11/06/2009,0,0,0,100,07/31/2015
63,2007101000639001,L,4,528,50,N,E,N,N,SP,33-47,14TH STREET,4D,07/31/2015,A,2.00700052949e+12,1,RPTT&RET,10/03/2007,348000,10/18/2007,10/18/2007,0,0,0,100,07/31/2015
64,2010062501141001,L,4,528,50,N,E,N,N,SP,33-55,14TH ST,14D,07/31/2015,A,2.0100002301e+12,1,RPTT&RET,06/28/2010,330000,07/12/2010,07/12/2010,0,0,0,100,07/31/2015
65,2005100701065001,L,4,528,50,N,E,N,N,SP,33-60,21 STREET,5B,07/31/2015,A,2.00500059654e+12,1,RPTT,09/23/2005,255000,10/25/2005,10/25/2005,0,0,0,100,07/31/2015
66,2007061501751001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,10B,07/31/2015,A,2.00700032236e+12,1,RPTT&RET,06/15/2007,280000,06/22/2007,06/22/2007,0,0,0,100,07/31/2015
67,2014111201249001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,2A,07/31/2015,A,2.01400039021e+12,1,RPTT&RET,10/21/2014,362000,11/24/2014,11/24/2014,0,0,0,100,07/31/2015
68,2014091100787001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,3B,07/31/2015,A,2.01400033574e+12,1,RPTT&RET,09/10/2014,335000,10/08/2014,10/08/2014,0,0,0,100,07/31/2015
69,2005100501025001,L,4,528,50,N,E,N,N,SP,33-68,21 STREET,8A,07/31/2015,A,2.00500057775e+12,1,RPTT&RET,09/22/2005,185200,10/17/2005,10/17/2005,0,0,0,100,07/31/2015
70,2005080301895001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,9D,07/31/2015,A,2.00500047864e+12,1,RPTT&RET,08/03/2005,225000,08/25/2005,08/25/2005,0,0,0,100,07/31/2015
71,2013071501579001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,3C,07/31/2015,A,2.01300029013e+12,2,RPTT&RET,07/16/2013,285000,07/23/2013,07/23/2013,0,0,0,100,07/31/2015
72,FT_4530004196853,L,4,528,50,N,E,N,N,PA,,,,07/31/2015,A,,4,ASST,,0,03/22/1994,03/22/1994,1994,3824,211,0,07/31/2015
73,2007083100664001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,5C,07/31/2015,A,2.00700050859e+12,2,RPTT&RET,08/29/2007,295000,10/05/2007,10/05/2007,0,0,0,100,07/31/2015
74,2004111502215001,L,4,528,50,N,E,N,N,SP,3368,21ST STREET,9A,07/31/2015,A,2.00400079842e+12,1,RPTT,11/30/2004,180000,12/30/2004,12/30/2004,0,0,0,100,07/31/2015
75,2011062400897001,L,4,528,50,N,E,N,N,SP,33-47,14TH   STREET,9A,07/31/2015,A,2.01100024028e+12,4,RPTT&RET,06/23/2011,251625,07/08/2011,07/08/2011,0,0,0,100,07/31/2015
76,2014112400648001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,9C,07/31/2015,A,2.01400040358e+12,1,RPTT&RET,11/24/2014,392000,12/08/2014,12/08/2014,0,0,0,100,07/31/2015
77,2014012200183001,L,4,528,50,N,E,N,N,SP,33-47,14TH STREET,7A,07/31/2015,A,2.01400005173e+12,1,RPTT&RET,01/22/2014,394000,02/10/2014,02/10/2014,0,0,0,100,07/31/2015
78,2004080300906001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,15A,07/31/2015,A,2.00400051045e+12,1,RPTT,07/08/2004,180000,08/17/2004,08/17/2004,0,0,0,100,07/31/2015
79,FT_4360004196836,L,4,528,50,N,E,N,N,PA,,,,07/31/2015,A,,4,MTGE,,850000,03/22/1994,03/22/1994,1994,3824,170,0,07/31/2015
80,FT_4030005607603,L,4,528,50,N,E,N,N,PA,,,,07/31/2015,A,,4,SMIS,,0,05/13/1997,05/13/1997,1997,4587,2247,0,07/31/2015
81,2011092900177001,L,4,528,50,N,E,N,N,SP,3360,21ST STREET,14D,07/31/2015,A,2.01100035268e+12,1,RPTT&RET,09/22/2011,399000,10/05/2011,10/05/2011,0,0,0,100,07/31/2015
82,2010051400456001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,6B,07/31/2015,A,2.01000017891e+12,4,RPTT&RET,05/18/2010,252500,05/27/2010,05/27/2010,0,0,0,100,07/31/2015
83,2015022700329001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,9A,07/31/2015,A,2.01500007893e+12,1,RPTT&RET,02/23/2015,400000,03/09/2015,03/09/2015,0,0,0,100,07/31/2015
84,2004092800386001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,5A,07/31/2015,A,2.00400065883e+12,1,RPTT,09/14/2004,135000,10/25/2004,10/25/2004,0,0,0,100,07/31/2015
85,BK_6840066600010,L,4,528,50,N,E,N,N,PA,,,,07/31/2015,A,,4,CTOR,02/23/1968,0,02/23/1968,02/23/1968,1968,666,10,0,07/31/2015
86,2004120600049001,L,4,528,50,N,E,N,N,SP,33-55,14 STREET,7C,07/31/2015,A,2.00500018231e+12,4,RPTT&RET,11/30/2004,200500,03/29/2005,03/29/2005,0,0,0,100,07/31/2015
87,2010031601025001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,11A,07/31/2015,A,2.01000009302e+12,3,RPTT,03/10/2010,335000,03/18/2010,03/18/2010,0,0,0,100,07/31/2015
88,2004082000656001,L,4,528,50,N,E,N,N,SP,33-60,21 STREET,3C,07/31/2015,A,2.00400059517e+12,1,RPTT,08/09/2004,195000,09/22/2004,09/22/2004,0,0,0,100,07/31/2015
89,2007050700019001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,18C,07/31/2015,A,2.00700034679e+12,1,RPTT&RET,05/07/2007,290000,07/06/2007,07/06/2007,0,0,0,100,07/31/2015
90,2005092702096001,L,4,528,50,N,E,N,N,SP,33-60,21 STREET,14A,07/31/2015,A,2.00500054806e+12,3,RPTT&RET,03/18/2005,255000,09/30/2005,09/30/2005,0,0,0,100,07/31/2015
91,2013121700600001,L,4,528,50,N,E,N,N,SP,3368,21 STREET,3A,07/31/2015,A,2.01300052985e+12,1,RPTT&RET,11/27/2013,362000,12/27/2013,12/27/2013,0,0,0,100,07/31/2015
